,ZipCode,Population,PersonsPerHousehold,AverageHouseValue,IncomePerHousehold,Latitude,Longitude,Elevation,State,StateFullName,City,CountyName,CBSAType,CBSAName,MSAName,PMSA_Name,Region,Division,popden,electricity (kWh),Nat. Gas (cu.ft.),FUELOIL (gallons),Vehicle miles traveled,Transport (tCO2e/yr),Housing (tCO2e/yr),Food (tCO2e/yr),Goods (tCO2e/yr),Services (tCO2e/yr),Total Household Carbon Footprint (tCO2e/yr),HouseholdsPerZipCode,Total Zip Code Carbon Footprint (tCO2e/yr)
28650,90023,47468,4.39,157200,26884,34.023042,-118.202487,267,CA,California,LOS ANGELES,LOS ANGELES,Metro,"Los Angeles-Long Beach-Santa Ana, CA","Los Angeles-Riverside-Orange County, CA","Los Angeles-Long Beach, CA PMSA",West,Pacific,9118.664235176551,6074.0434702847715,31189.941628598695,0.29957537772239634,16392,10.648857012880354,6.671948729652245,13.169999999999998,4.858251485600334,4.54977009761061,39.89882732574355,11285,450258.2663710159
28651,90024,44141,1.97,874500,47573,34.062979,-118.436315,267,CA,California,LOS ANGELES,LOS ANGELES,Metro,"Los Angeles-Long Beach-Santa Ana, CA","Los Angeles-Riverside-Orange County, CA","Los Angeles-Long Beach, CA PMSA",West,Pacific,13050.185607632913,4994.248371970835,27091.040367229773,0.20939491381804423,11148,8.896682538839332,6.013737728053945,5.91,5.326695494247472,6.215731390323245,32.362847151463995,17934,580395.3008143553
28652,90025,41170,1.9,404400,47806,34.04346,-118.44974,267,CA,California,LOS ANGELES,LOS ANGELES,Metro,"Los Angeles-Long Beach-Santa Ana, CA","Los Angeles-Riverside-Orange County, CA","Los Angeles-Long Beach, CA PMSA",West,Pacific,15040.005611233571,4954.024349915478,26697.983853984417,0.5688897129817179,9136,7.68671487487007,5.909821132510747,5.699999999999999,5.316612418923711,6.232262564825959,30.845410991130485,21974,677797.0611191012
28653,90026,73671,2.96,206900,28651,34.078589,-118.261469,267,CA,California,LOS ANGELES,LOS ANGELES,Metro,"Los Angeles-Long Beach-Santa Ana, CA","Los Angeles-Riverside-Orange County, CA","Los Angeles-Long Beach, CA PMSA",West,Pacific,17750.94036299903,5106.249185445643,28558.93066950298,0.0,13922,9.572199079943571,5.943367020965397,8.879999999999999,4.4675626495941305,4.629495276360247,33.49262402686334,26242,878913.4397129477
28654,90027,48715,2.16,423900,31820,34.12356,-118.28784,267,CA,California,LOS ANGELES,LOS ANGELES,Metro,"Los Angeles-Long Beach-Santa Ana, CA","Los Angeles-Riverside-Orange County, CA","Los Angeles-Long Beach, CA PMSA",West,Pacific,6018.262458507469,4820.237819589689,26933.244034067327,0.198787138113977,13667,9.75469750732047,5.736293338672864,6.48,4.384773331584771,4.862227898692767,31.217992076270875,22977,717295.8039364759
28655,90028,30562,2.01,192500,21893,34.0998,-118.32648,267,CA,California,LOS ANGELES,LOS ANGELES,Metro,"Los Angeles-Long Beach-Santa Ana, CA","Los Angeles-Riverside-Orange County, CA","Los Angeles-Long Beach, CA PMSA",West,Pacific,20531.49995095872,3903.96028217898,23437.941977622417,0.23934715321027913,9773,7.000266377218458,4.87217383935768,6.029999999999999,3.687650777747105,3.9942545418583952,25.58434553618164,15506,396710.8618840325
28656,90029,41697,3.0,217400,22043,34.089906,-118.293247,267,CA,California,LOS ANGELES,LOS ANGELES,Metro,"Los Angeles-Long Beach-Santa Ana, CA","Los Angeles-Riverside-Orange County, CA","Los Angeles-Long Beach, CA PMSA",West,Pacific,30730.985769129573,4490.556871872439,25696.839839238677,0.0,12326,8.308105472966343,5.262093976186506,9.0,4.061833755355472,4.060191566375256,30.692224770883577,14093,432545.5236960623
28657,90031,38409,3.69,155700,25300,34.078622,-118.213537,267,CA,California,LOS ANGELES,LOS ANGELES,Metro,"Los Angeles-Long Beach-Santa Ana, CA","Los Angeles-Riverside-Orange County, CA","Los Angeles-Long Beach, CA PMSA",West,Pacific,9815.305938350812,5507.652461360135,29840.192117076447,1.389740523620125,15584,10.265817081635904,6.289999461276,11.07,4.513665693879604,4.377377013857596,36.516859250649105,10854,396353.9903065454
28658,90032,46942,3.64,151300,33445,34.080877,-118.17735,267,CA,California,LOS ANGELES,LOS ANGELES,Metro,"Los Angeles-Long Beach-Santa Ana, CA","Los Angeles-Riverside-Orange County, CA","Los Angeles-Long Beach, CA PMSA",West,Pacific,9993.479181387118,6449.94039782158,32171.389449918148,0.0,19749,13.172117142462918,6.968404541143115,10.92,5.017922578337527,5.079702757944186,41.15814701988774,13156,541476.5821936431
28659,90033,49418,3.82,150800,22429,34.0496,-118.2103,267,CA,California,LOS ANGELES,LOS ANGELES,Metro,"Los Angeles-Long Beach-Santa Ana, CA","Los Angeles-Riverside-Orange County, CA","Los Angeles-Long Beach, CA PMSA",West,Pacific,15830.48205480413,5169.950879511365,28827.779041605438,0.0,13076,8.569903176891703,5.98303050815686,11.459999999999999,4.3796615019914515,4.136170232832427,34.52876541987244,13206,455986.8761348355
