input_income,input_footprint_transportation_num_vehicles,input_footprint_transportation_mpg1,input_footprint_transportation_miles1,input_footprint_transportation_fuel1,input_footprint_transportation_airshort,input_footprint_transportation_airmedium,input_footprint_transportation_airlong,input_footprint_housing_cdd,input_footprint_housing_hdd,input_footprint_housing_electricity_dollars,input_footprint_housing_squarefeet,input_footprint_housing_watersewage,input_footprint_shopping_food_meatfisheggs_default,input_footprint_shopping_goods_clothing,input_footprint_shopping_goods_other_personalcare,input_footprint_shopping_services_education,input_footprint_shopping_services_total,result_grand_total
1.0,1.0,22.0,21100.0,1.0,9.0,0.0,0.0,170.515,7482.86,470.0,1591.0,237.0,543.0,166.85644299999998,53.988023999999996,71.489774,1457.367933,29.239682000000002
1.0,1.0,22.0,22700.0,1.0,9.0,0.0,0.0,170.515,7482.86,490.0,1591.0,237.0,543.0,143.25684099999998,48.675985,60.519362,1358.157944,29.610813
1.0,1.0,22.0,18400.0,1.0,8.0,1.0,0.0,170.515,7482.86,430.0,1591.0,237.0,543.0,176.84718,58.432542000000005,81.426237,1650.608591,29.095389
1.0,1.0,22.0,17300.0,1.0,2.0,2.0,0.0,170.515,7482.86,530.0,1591.0,237.0,543.0,223.771466,65.721059,95.349009,1622.382427,30.11494
1.0,1.0,22.0,14800.0,1.0,3.0,3.0,0.0,170.515,7482.86,520.0,1591.0,237.0,543.0,183.35945700000002,61.68823100000001,88.767935,1801.29514,29.679809999999996
1.0,1.0,22.0,21200.0,1.0,1.0,1.0,1.0,170.515,7482.86,550.0,1591.0,237.0,543.0,205.995521,65.247277,95.587162,1790.6198600000002,32.892826
1.0,1.0,22.0,19300.0,1.0,2.0,3.0,0.0,170.515,7482.86,510.0,1591.0,237.0,543.0,185.135372,60.92018100000001,86.777711,1728.298391,31.526928
1.0,1.0,22.0,17900.0,1.0,9.0,1.0,0.0,170.515,7482.86,450.0,1591.0,237.0,543.0,181.179563,60.354369999999996,85.721779,1734.043139,29.856303000000004
1.0,1.0,22.0,16600.0,1.0,2.0,1.0,1.0,170.515,7482.86,550.0,1591.0,237.0,543.0,199.9933,64.964371,95.371726,1838.986568,30.891059999999996
1.0,1.0,22.0,13000.0,1.0,3.0,3.0,0.0,170.515,7482.86,440.0,1591.0,237.0,543.0,183.184429,61.481448,88.282103,1789.014045,28.086384000000002
1.0,1.0,22.0,10600.0,1.0,6.0,1.0,0.0,170.515,7482.86,400.0,1591.0,237.0,543.0,138.81661200000002,47.994171,59.22080699999999,1361.369575,23.650014000000002
1.0,1.0,22.0,15200.0,1.0,2.0,1.0,0.0,170.515,7482.86,490.0,1591.0,237.0,543.0,191.896047,55.666712,73.59138,1290.023876,26.194436
1.0,1.0,22.0,15700.0,1.0,5.0,1.0,0.0,549.3380000000001,5283.8,430.0,1591.0,237.0,543.0,151.17111,49.611903000000005,62.160563,1333.188646,25.313968
1.0,1.0,22.0,15500.0,1.0,2.0,1.0,0.0,549.3380000000001,5283.8,470.0,1591.0,237.0,543.0,160.398088,48.835105,59.571954000000005,1175.41163,24.186501
1.0,1.0,22.0,17600.0,1.0,0.0,1.0,1.0,1234.11,2677.94,670.0,1591.0,237.0,543.0,194.96610800000002,61.774012,88.07179599999999,1676.007614,29.990705
1.0,1.0,22.0,15600.0,1.0,7.0,0.0,0.0,976.2810000000001,4020.41,500.0,1591.0,237.0,543.0,141.99893799999998,46.429327,55.20218199999999,1217.615172,24.608609
1.0,1.0,22.0,12000.0,1.0,6.0,0.0,0.0,1467.8,2538.98,550.0,1591.0,237.0,543.0,146.614195,45.992414000000004,53.790852,1135.368022,22.580405
1.0,1.0,22.0,13500.0,1.0,5.0,1.0,0.0,1517.73,2485.28,620.0,1591.0,237.0,543.0,161.270576,51.981665,67.08783299999999,1382.29041,25.388904999999998
1.0,1.0,22.0,12100.0,1.0,9.0,0.0,0.0,1517.73,2485.28,520.0,1591.0,237.0,543.0,146.18281299999998,49.331895,61.873022,1370.269411,23.742107
1.0,1.0,22.0,17400.0,1.0,5.0,0.0,0.0,1517.73,2485.28,480.0,1591.0,237.0,543.0,144.70656699999998,44.898738,51.303072,1081.589039,24.686248000000003
1.0,1.0,22.0,15700.0,1.0,3.0,1.0,0.0,1517.73,2485.28,650.0,1591.0,237.0,543.0,162.690247,50.256565,62.819990000000004,1247.424534,25.837184
1.0,1.0,22.0,13800.0,1.0,3.0,0.0,0.0,1517.73,2485.28,580.0,1591.0,237.0,543.0,156.17355,44.887036,50.384536,951.2013529999999,22.364779000000002
1.0,1.0,22.0,13100.0,1.0,1.0,1.0,0.0,1517.73,2485.28,570.0,1591.0,237.0,543.0,157.788581,47.059446,55.495073,1082.592108,22.847285
1.0,1.0,22.0,7500.0,1.0,7.0,1.0,0.0,285.06,6495.7,400.0,1591.0,237.0,543.0,146.661046,50.772044,65.30689,1464.073909,21.54741
1.0,1.0,22.0,13000.0,1.0,9.0,0.0,0.0,1239.86,2827.95,580.0,1591.0,237.0,543.0,162.181959,52.783913,68.950626,1427.25324,25.354742
1.0,1.0,22.0,12400.0,1.0,7.0,0.0,0.0,1447.37,2469.71,530.0,1591.0,237.0,543.0,134.254393,44.814946,51.91267,1193.93505,22.936151000000002
1.0,1.0,22.0,13500.0,1.0,1.0,2.0,0.0,1293.17,3084.09,540.0,1591.0,237.0,543.0,136.25218700000002,45.890329,54.349375,1245.4342279999998,24.198297
1.0,1.0,22.0,13900.0,1.0,6.0,0.0,0.0,1293.17,3084.09,490.0,1591.0,237.0,543.0,155.204708,48.337862,58.776743999999994,1199.838117,23.757972
1.0,1.0,22.0,6200.0,1.0,3.0,1.0,0.0,1293.17,3084.09,450.0,1591.0,237.0,543.0,192.204556,56.410504,75.36030500000001,1337.779921,19.909732
1.0,1.0,22.0,19700.0,1.0,2.0,3.0,0.0,1293.17,3084.09,670.0,1591.0,237.0,543.0,189.952176,61.877970999999995,88.712976,1739.855739,31.508067999999998
1.0,1.0,22.0,14000.0,1.0,1.0,0.0,1.0,1293.17,3084.09,460.0,1591.0,237.0,543.0,123.687302,44.00412,50.778917,1257.511769,24.002986
1.0,1.0,22.0,15700.0,1.0,5.0,0.0,0.0,1293.17,3084.09,540.0,1591.0,237.0,543.0,165.404948,49.415858,60.582893999999996,1158.833282,24.546454999999998
1.0,1.0,22.0,4600.0,1.0,2.0,0.0,0.0,1149.46,3305.91,370.0,1591.0,237.0,543.0,74.703962,26.828329999999998,13.185965,627.947322,14.147699
1.0,1.0,22.0,19900.0,1.0,8.0,1.0,0.0,1149.46,3305.91,610.0,1591.0,237.0,543.0,177.004528,58.289953000000004,81.069374,1639.006009,30.533997999999997
1.0,1.0,22.0,16700.0,1.0,2.0,2.0,0.0,1149.46,3305.91,520.0,1591.0,237.0,543.0,154.368464,50.900602,65.018249,1385.81868,26.550613000000002
1.0,1.0,22.0,11300.0,1.0,2.0,1.0,0.0,1149.46,3305.91,560.0,1591.0,237.0,543.0,145.20248,45.461028000000006,52.6198,1114.716332,22.43959
1.0,1.0,22.0,12100.0,1.0,3.0,1.0,0.0,1048.86,3997.23,530.0,1591.0,237.0,543.0,136.701249,44.472107,50.896308000000005,1142.673351,22.937835999999997
1.0,1.0,22.0,12500.0,1.0,0.0,2.0,0.0,1048.86,3997.23,510.0,1591.0,237.0,543.0,132.634943,44.163354,50.467926,1167.3599359999998,23.063839
1.0,1.0,22.0,12800.0,1.0,3.0,1.0,0.0,1048.86,3997.23,490.0,1591.0,237.0,543.0,124.26896,41.747407,45.294663,1095.479342,23.679503
1.0,1.0,22.0,13000.0,1.0,2.0,1.0,0.0,1048.86,3997.23,510.0,1591.0,237.0,543.0,127.750956,41.610782,44.695105,1046.72362,22.608363
1.0,1.0,22.0,19000.0,1.0,8.0,0.0,0.0,1048.86,3997.23,550.0,1591.0,237.0,543.0,151.415972,49.351721000000005,61.5144,1312.493983,27.67558
1.0,1.0,22.0,13800.0,1.0,5.0,0.0,0.0,1048.86,3997.23,500.0,1591.0,237.0,543.0,135.399147,42.652194,46.611245000000004,1032.023624,24.236452
1.0,1.0,22.0,12500.0,1.0,4.0,0.0,0.0,1048.86,3997.23,420.0,1591.0,237.0,543.0,108.79047800000001,36.066624,32.805057,879.096849,21.265974
1.0,1.0,22.0,10400.0,1.0,1.0,1.0,0.0,1048.86,3997.23,430.0,1591.0,237.0,543.0,112.344076,37.280563,35.454927000000005,922.559034,20.01471
1.0,1.0,22.0,12300.0,1.0,6.0,0.0,0.0,614.5409999999999,5420.71,490.0,1591.0,237.0,543.0,124.68266299999999,41.446833000000005,44.538144,1070.097281,22.786111
1.0,1.0,22.0,16800.0,1.0,7.0,0.0,0.0,487.031,5221.58,440.0,1591.0,237.0,543.0,134.139476,44.775578,51.826715,1192.52148,26.961287
1.0,1.0,22.0,9500.0,1.0,2.0,1.0,0.0,275.32,6673.09,420.0,1591.0,237.0,543.0,113.866289,38.488309,38.247541999999996,988.544476,20.534124
1.0,1.0,22.0,15000.0,1.0,3.0,2.0,0.0,614.5409999999999,5420.71,480.0,1591.0,237.0,543.0,149.154752,50.7892,65.154546,1437.06907,26.960265000000003
1.0,1.0,22.0,10500.0,1.0,3.0,1.0,0.0,614.5409999999999,5420.71,390.0,1591.0,237.0,543.0,116.11071299999999,40.089738,41.933046000000004,1073.497765,22.236318
2.0,1.0,22.0,5000.0,1.0,1.0,1.0,0.0,1157.25,1627.91,350.0,1420.0,123.001,543.0,116.207829,34.363603999999995,133.616965,781.247092,14.449409
2.0,1.0,22.0,5900.0,1.0,2.0,0.0,0.0,1085.39,1455.31,340.0,1420.0,123.001,543.0,113.876631,30.423568,107.07537099999999,586.621537,13.636895
2.0,1.0,22.0,5500.0,1.0,0.0,1.0,0.0,1157.25,1627.91,310.0,1420.0,123.001,543.0,102.69261999999999,29.907434000000002,105.680682,644.627308,13.652782
2.0,1.0,22.0,3600.0,1.0,6.0,0.0,0.0,1157.25,1627.91,250.0,1420.0,123.001,543.0,121.520765,37.622723,154.925154,916.2611789999999,14.086552
2.0,1.0,22.0,5200.0,1.0,1.0,1.0,0.0,1157.25,1627.91,300.0,1420.0,123.001,543.0,98.463498,30.579859999999996,111.095758,713.352185,13.874639000000002
2.0,1.0,22.0,3000.0,1.0,4.0,0.0,0.0,1157.25,1627.91,250.0,1420.0,123.001,543.0,92.352685,29.400834999999997,104.18966999999999,696.665965,12.257499000000001
2.0,1.0,22.0,10500.0,1.0,7.0,1.0,0.0,1157.25,1627.91,540.0,1420.0,123.001,543.0,212.4806,62.109092000000004,305.238339,1538.82644,23.488907
2.0,1.0,22.0,5700.0,1.0,1.0,0.0,0.0,1085.39,1455.31,320.0,1420.0,123.001,543.0,126.50281299999999,30.915725,108.02991499999999,516.2546179999999,13.012982000000001
2.0,1.0,22.0,7000.0,1.0,5.0,1.0,0.0,1157.25,1627.91,480.0,1420.0,123.001,543.0,180.386347,52.56908000000001,246.034183,1270.588399,19.480629999999998
2.0,1.0,22.0,5600.0,1.0,1.0,1.0,0.0,1157.25,1627.91,300.0,1420.0,123.001,543.0,114.385449,33.733391999999995,129.649268,761.240986,14.458734
